日期,预测值_x,真实值_x,误差_x,标签,真实值_y,预测值_y,误差_y
9/11/16,621.25,621.25,0.0,1,,,
9/12/16,609.67,609.67,0.0,0,1324.6,1324.6,0.0
9/13/16,597.69,610.92,13.229999999999905,0,1323.65,1324.6,0.9499999999998181
9/14/16,603.35,608.82,5.470000000000027,0,1321.75,1322.7000000000003,0.9500000000002728
9/15/16,603.46,610.38,6.919999999999959,0,1310.8,1320.4833333333333,9.683333333333394
9/16/16,605.27,609.11,3.840000000000032,0,1308.35,1309.3750000000002,1.0250000000003183
9/17/16,605.49,607.04,1.5499999999999545,1,,,
9/18/16,604.59,611.58,6.990000000000009,1,,,
9/19/16,606.46,610.19,3.730000000000018,0,1314.85,1295.1549999999997,19.695000000000164
9/20/16,607.08,608.66,1.5799999999999272,0,1313.8,1307.6535135135134,6.146486486486538
9/21/16,606.92,598.88,8.039999999999964,0,1326.1,1309.4090425531915,16.690957446808397
9/22/16,603.29,597.42,5.8700000000000045,0,1339.1,1315.862893081761,23.23710691823885
9/23/16,600.26,594.08,6.17999999999995,0,1338.65,1324.7408163265304,13.90918367346967
9/24/16,597.06,603.88,6.82000000000005,1,,,
9/25/16,597.51,601.74,4.230000000000018,1,,,
9/26/16,597.33,598.98,1.6499999999999773,0,1340.5,1332.8585964912281,7.641403508771873
9/27/16,596.54,605.96,9.420000000000073,0,1327.0,1337.2866812227073,10.28668122270733
9/28/16,597.59,605.67,8.079999999999927,0,1322.5,1335.30698441247,12.806984412470001
9/29/16,598.41,603.85,5.440000000000055,0,1318.1,1332.7602812908856,14.660281290885678
9/30/16,598.72,609.39,10.669999999999959,0,1322.5,1329.8368507831822,7.336850783182172
10/1/16,600.1,614.82,14.720000000000027,1,,,
10/2/16,602.3,612.98,10.680000000000064,1,,,
10/3/16,603.84,611.85,8.009999999999991,0,1313.3,1329.778717948718,16.478717948717986
10/4/16,604.95,609.62,4.669999999999959,0,1283.3,1325.806278625954,42.50627862595411
10/5/16,605.53,607.18,1.6499999999999773,0,1269.4,1315.8358045212767,46.43580452127662
10/6/16,605.65,612.08,6.430000000000064,0,1254.5,1305.4159696488443,50.91596964884434
10/7/16,606.51,617.21,10.700000000000045,0,1258.75,1294.3793639406983,35.62936394069834
10/8/16,608.01,614.74,6.730000000000018,1,,,
10/9/16,608.98,615.65,6.669999999999959,1,,,
10/10/16,609.96,617.54,7.579999999999927,0,1259.5,1282.586324110672,23.086324110671967
10/11/16,611.07,614.77,3.699999999999932,0,1253.45,1276.0208128785464,22.57081287854635
