日期,标签,真实值,预测值,误差
9/12/16,0,1324.6,1324.6,0
9/13/16,0,1323.65,1324.6,0.9499999999998181
9/14/16,0,1321.75,1322.7000000000003,0.9500000000002728
9/15/16,0,1310.8,1320.4833333333333,9.683333333333394
9/16/16,0,1308.35,1309.3750000000002,1.0250000000003183
9/19/16,0,1314.85,1295.1549999999997,19.695000000000164
9/20/16,0,1313.8,1307.6535135135134,6.146486486486538
9/21/16,0,1326.1,1309.4090425531915,16.690957446808397
9/22/16,0,1339.1,1315.862893081761,23.23710691823885
9/23/16,0,1338.65,1324.7408163265304,13.90918367346967
9/26/16,0,1340.5,1332.8585964912281,7.641403508771873
9/27/16,0,1327.0,1337.2866812227073,10.28668122270733
9/28/16,0,1322.5,1335.30698441247,12.806984412470001
9/29/16,0,1318.1,1332.7602812908856,14.660281290885678
9/30/16,0,1322.5,1329.8368507831822,7.336850783182172
10/3/16,0,1313.3,1329.778717948718,16.478717948717986
10/4/16,0,1283.3,1325.806278625954,42.50627862595411
10/5/16,0,1269.4,1315.8358045212767,46.43580452127662
10/6/16,0,1254.5,1305.4159696488443,50.91596964884434
10/7/16,0,1258.75,1294.3793639406983,35.62936394069834
10/10/16,0,1259.5,1282.586324110672,23.086324110671967
10/11/16,0,1253.45,1276.0208128785464,22.57081287854635
10/12/16,0,1256.5,1269.7486042908538,13.248604290853791
10/13/16,0,1261.05,1265.1968027091211,4.146802709121175
10/14/16,0,1251.75,1262.141791044776,10.391791044776028
10/17/16,0,1254.8,1253.183,1.6169999999999618
10/18/16,0,1258.2,1250.9521276595747,7.247872340425374
10/19/16,0,1269.05,1249.5586193745232,19.491380625476722
10/20/16,0,1271.65,1249.8565263452467,21.79347365475337
10/21/16,0,1266.05,1250.401842242958,15.648157757041872
10/24/16,0,1265.55,1245.8062679700981,19.74373202990182
10/25/16,0,1269.4,1246.3051727127238,23.094827287276303
10/26/16,0,1270.5,1247.1544312835038,23.345568716496246
10/27/16,0,1266.25,1247.9673342441367,18.282665755863263
10/28/16,0,1273.0,1248.153804610672,24.84619538932793
10/31/16,0,1272.0,1245.537012987013,26.462987012987014
11/1/16,0,1288.45,1246.8477656147031,41.602234385296924
11/2/16,0,1303.75,1249.7407867179777,54.0092132820223
11/3/16,0,1301.0,1253.8339200673017,47.16607993269827
11/4/16,0,1302.8,1257.1532178349362,45.64678216506377
11/7/16,0,1283.05,1258.0154339440694,25.034566055930554
11/8/16,0,1282.35,1259.4152174007565,22.934782599243363
11/9/16,0,1281.4,1260.5612439687052,20.838756031294906
11/10/16,0,1267.5,1261.475415601138,6.024584398862089
11/11/16,0,1236.45,1261.0511380395242,24.60113803952413
11/14/16,0,1213.6,1256.0260502591843,42.42605025918442
11/15/16,0,1226.95,1251.23491831712,24.284918317119946
11/16/16,0,1229.2,1248.0701295977171,18.870129597717096
11/17/16,0,1226.75,1245.385453816986,18.635453816986
11/18/16,0,1211.0,1242.7410229450595,31.741022945059512
11/21/16,0,1214.25,1236.6149415384616,22.364941538461608
11/22/16,0,1212.25,1233.5688061312412,21.318806131241217
11/23/16,0,1185.35,1230.6331630036138,45.283163003613936
11/24/16,0,1186.1,1225.9279940447623,39.82799404476236
11/25/16,0,1187.7,1221.6608833683879,33.96088336838784
11/28/16,0,1187.0,1214.8625720620844,27.862572062084382
11/29/16,0,1186.55,1211.337300918072,24.787300918072106
11/30/16,0,1178.1,1208.0595442736446,29.959544273644724
12/1/16,0,1161.85,1204.4509827495008,42.60098274950087
12/2/16,0,1173.5,1200.0275432371834,26.52754323718341
12/5/16,0,1162.2,1193.3153121888781,31.11531218887808
12/6/16,0,1172.5,1189.552920030647,17.0529200306471
12/7/16,0,1177.65,1186.732007855849,9.082007855848815
12/8/16,0,1171.05,1184.4271248098266,13.377124809826682
12/9/16,0,1163.6,1181.8652936145952,18.265293614595294
12/12/16,0,1156.1,1175.4727314400716,19.372731440071675
12/13/16,0,1158.55,1172.5013721828502,13.951372182850264
12/14/16,0,1162.25,1169.870598093499,7.620598093498984
12/15/16,0,1126.95,1167.6192833093055,40.669283309305456
12/16/16,0,1131.6,1163.4912187872708,31.891218787270873
12/19/16,0,1136.25,1156.120364636929,19.870364636929025
12/20/16,0,1125.7,1153.1041492394752,27.404149239475146
12/21/16,0,1133.65,1149.6801605796293,16.030160579629182
12/22/16,0,1131.35,1146.89180207999,15.54180207999002
12/28/16,0,1134.6,1134.438086378432,0.1619136215679191
12/29/16,0,1145.9,1132.5077391823108,13.392260817689248
1/3/17,0,1151.0,1123.6200061175514,27.379993882448616
1/4/17,0,1164.25,1123.3786291135118,40.871370886488194
1/5/17,0,1176.7,1123.9046084728784,52.79539152712164
1/6/17,0,1175.85,1125.0695590009436,50.78044099905628
1/9/17,0,1178.5,1122.4606818192217,56.03931818077831
1/10/17,0,1189.5,1123.8400331223525,65.65996687764755
1/11/17,0,1178.55,1125.6889977354576,52.86100226454232
1/12/17,0,1205.05,1126.7913877897427,78.2586122102573
1/13/17,0,1190.35,1129.1659486205451,61.184051379454786
1/16/17,0,1203.0,1127.4126000618533,75.58739993814675
1/17/17,0,1216.05,1129.6970331280268,86.3529668719732
1/18/17,0,1214.75,1132.4585052390728,82.29149476092721
1/19/17,0,1196.05,1134.9584304870878,61.0915695129122
1/20/17,0,1200.55,1136.3963948451574,64.15360515484258
1/23/17,0,1212.85,1135.14403758299,77.70596241700991
1/24/17,0,1216.8,1137.4154297282864,79.38457027171353
1/25/17,0,1195.0,1139.7141413259146,55.285858674085375
