预测值,实际值,损失
1277.1390380859375,1269.4,7.83984375
1235.2314453125,1212.25,33.8692626953125
1125.67529296875,1125.7,11.4149169921875
1221.135009765625,1216.8,10.790283203125
1226.05712890625,1233.2,10.98828125
1211.72021484375,1241.6,40.531494140625
1277.0537109375,1282.1,19.498046875
1257.701416015625,1252.0,4.748779296875
1229.33984375,1248.15,26.9779052734375
1237.368896484375,1234.1,0.955810546875
1270.7308349609375,1282.3,8.4161376953125
1317.195068359375,1326.5,18.96728515625
1291.7569580078125,1291.4,18.7803955078125
1324.2625732421875,1275.6,34.1116943359375
1286.351806640625,1266.3,18.675048828125
1296.586669921875,1311.0,27.53759765625
1361.1448974609375,1331.4,29.9432373046875
1328.889404296875,1331.4,7.8544921875
1287.3604736328125,1327.7,34.361572265625
1321.2764892578125,1315.05,6.6468505859375
1306.7734375,1295.45,10.6912841796875
1245.7828369140625,1247.8,11.6036376953125
1208.8558349609375,1223.8,36.09619140625
1215.6884765625,1212.25,42.4912109375
1202.7691650390625,1201.9,0.5970458984375
1237.6773681640625,1235.95,20.6788330078125
1197.6231689453125,1223.0,18.25
1238.5048828125,1246.3,1.9927978515625
1294.4874267578125,1282.1,21.6075439453125
1305.1910400390625,1334.15,13.043212890625
1323.9661865234375,1307.7,17.27880859375
1298.5830078125,1276.35,19.6671142578125
1281.32177734375,1280.8,4.228515625
1351.9561767578125,1341.3,18.781982421875
1416.8695068359375,1412.4,5.4346923828125
1476.947265625,1504.7,28.2518310546875
1490.5101318359375,1498.25,26.798828125
1496.0615234375,1505.85,1.803955078125
1527.128662109375,1488.95,34.4296875
1468.5716552734375,1477.3,5.8604736328125
1578.2607421875,1567.85,0.0889892578125
1556.7645263671875,1558.35,18.940185546875
1573.5484619140625,1615.5,24.431396484375
1644.59912109375,1608.95,9.757080078125
1699.1109619140625,1702.75,2.8258056640625
1727.2813720703125,1730.6,11.4654541015625
1757.7645263671875,1771.6,9.9351806640625
1927.1876220703125,1936.65,28.9471435546875
1938.6484375,1943.95,19.7681884765625
1919.2255859375,1906.0,3.6402587890625
1908.5921630859375,1898.4,4.5919189453125
1899.373291015625,1889.05,8.616455078125
1828.87744140625,1850.65,14.90771484375
1829.14453125,1834.7,19.9285888671875
1812.6737060546875,1794.25,0.9931640625
1744.896484375,1735.0,40.390625
1747.521728515625,1757.2,11.0684814453125
1847.2598876953125,1838.1,19.937744140625
1877.506591796875,1865.6,12.2703857421875
1792.4937744140625,1792.4,9.6724853515625
1773.7276611328125,1738.85,26.3822021484375
1815.199951171875,1802.15,0.301513671875
