预测值,实际值,损失
1238.3193359375,1212.25,26.2496337890625
1235.64013671875,1185.35,25.5706787109375
1182.0828857421875,1186.1,1.50634765625
1229.181640625,1187.7,25.8719482421875
1197.0224609375,1187.0,22.4840087890625
1174.21484375,1186.55,4.8858642578125
1146.35205078125,1178.1,25.4932861328125
1136.095703125,1161.85,28.321533203125
1169.122802734375,1173.5,6.93701171875
1123.4825439453125,1162.2,31.57080078125
1139.1177978515625,1172.5,0.260009765625
1172.2750244140625,1177.65,4.1060791015625
1166.34228515625,1171.05,30.451904296875
1149.423095703125,1163.6,5.6893310546875
1175.114990234375,1156.1,7.4075927734375
1149.763427734375,1158.55,5.66357421875
1151.2879638671875,1162.25,5.4361572265625
1159.50390625,1126.95,13.0526123046875
1129.3892822265625,1131.6,4.8385009765625
1112.6600341796875,1136.25,37.13720703125
1143.7803955078125,1125.7,4.244384765625
1100.522216796875,1133.65,7.9947509765625
1126.3963623046875,1131.35,5.8487548828125
1106.4205322265625,1134.6,18.4322509765625
1108.8079833984375,1145.9,26.2742919921875
1160.462158203125,1151.0,17.1787109375
1138.5675048828125,1164.25,12.5548095703125
1185.6083984375,1176.7,4.395751953125
1191.0555419921875,1175.85,26.4793701171875
1147.891845703125,1178.5,32.7481689453125
1192.6990966796875,1189.5,14.0533447265625
1197.3426513671875,1178.55,3.455810546875
1191.8438720703125,1205.05,0.193603515625
1214.36328125,1190.35,9.208984375
1185.5296630859375,1203.0,7.0338134765625
1195.4298095703125,1216.05,2.8779296875
1200.889892578125,1214.75,9.109130859375
1219.6114501953125,1196.05,13.183837890625
1208.5057373046875,1200.55,11.7030029296875
1217.1990966796875,1212.85,7.088623046875
1198.289306640625,1216.8,35.5628662109375
1229.8695068359375,1195.0,4.5213623046875
1187.361328125,1189.7,2.83251953125
1198.3465576171875,1184.85,2.108642578125
1184.856201171875,1192.8,3.791015625
1187.8941650390625,1212.8,7.119384765625
1199.931884765625,1203.65,23.6365966796875
1257.3551025390625,1221.95,30.9017333984375
1236.2642822265625,1215.2,2.179931640625
1216.1590576171875,1226.75,1.92041015625
1248.939697265625,1231.0,1.724365234375
1237.64404296875,1242.1,1.380615234375
1225.3333740234375,1236.8,22.72998046875
1222.4476318359375,1228.3,11.06640625
1206.8387451171875,1222.25,19.9765625
1223.498291015625,1230.75,9.29833984375
1238.017578125,1224.4,0.7569580078125
1231.5670166015625,1240.55,11.4100341796875
1281.849853515625,1241.95,26.36962890625
1217.25439453125,1237.3,25.61328125
1236.748046875,1233.2,17.4593505859375
1227.427734375,1236.65,17.744873046875
1241.8642578125,1247.9,14.5340576171875
1287.22412109375,1253.65,24.619384765625
1242.0086669921875,1257.2,11.028564453125
1225.4591064453125,1255.6,40.9063720703125
1261.663330078125,1240.4,0.2503662109375
1229.7164306640625,1238.1,11.4019775390625
1214.844482421875,1226.5,14.1707763671875
1244.9876708984375,1230.95,17.568359375
1230.3594970703125,1216.65,14.3751220703125
1238.7900390625,1209.2,24.3203125
1209.1990966796875,1206.55,1.143798828125
1183.7877197265625,1202.65,4.443603515625
1214.8795166015625,1204.2,36.732177734375
1202.8990478515625,1204.6,2.319091796875
1221.320068359375,1198.8,2.0933837890625
1183.078857421875,1229.35,1.798583984375
1254.9130859375,1229.6,4.3741455078125
1237.5439453125,1232.4,18.7125244140625
1236.9510498046875,1241.6,7.9912109375
1241.673828125,1249.05,10.67724609375
1271.512939453125,1247.5,1.9755859375
1264.86328125,1247.5,22.05029296875
1259.6712646484375,1257.55,9.9749755859375
1246.2574462890625,1257.25,10.6796875
1204.6409912109375,1251.1,32.8446044921875
1250.2994384765625,1248.8,6.7415771484375
1242.276123046875,1244.85,22.9603271484375
1244.942138671875,1247.25,7.0399169921875
1220.2015380859375,1257.65,17.581787109375
1247.52490234375,1245.8,14.5523681640625
1246.472900390625,1252.5,6.364990234375
1249.713134765625,1266.45,3.044189453125
1251.0194091796875,1250.05,24.218505859375
1289.6536865234375,1252.9,24.8988037109375
1266.7454833984375,1274.3,9.4998779296875
1288.9212646484375,1284.15,21.08544921875
1283.93115234375,1278.95,2.4969482421875
1299.54541015625,1279.05,7.7342529296875
1281.4091796875,1282.1,13.54931640625
1295.2763671875,1281.85,8.6580810546875
1267.1214599609375,1269.4,7.775390625
1277.3634033203125,1267.8,7.5382080078125
1270.6326904296875,1261.85,8.582275390625
1260.2462158203125,1262.8,3.1156005859375
1267.94140625,1266.45,15.61376953125
1247.277587890625,1255.45,26.67138671875
1257.316650390625,1250.3,4.683349609375
1232.253173828125,1228.45,10.53955078125
1247.722412109375,1228.05,4.5650634765625
1230.5240478515625,1229.8,22.829345703125
1194.416748046875,1220.4,36.576416015625
1222.6710205078125,1222.95,2.823486328125
1198.7821044921875,1223.15,26.0013427734375
1211.6099853515625,1231.25,2.4178466796875
1258.1678466796875,1233.3,3.280029296875
1237.4385986328125,1234.2,3.7000732421875
1259.4200439453125,1257.4,4.7169189453125
1210.3516845703125,1255.9,32.38671875
1246.33447265625,1252.0,8.4420166015625
1226.2386474609375,1258.85,26.6790771484375
1246.8153076171875,1260.2,11.281982421875
1290.156005859375,1252.55,18.06982421875
1248.05419921875,1256.95,0.109130859375
1255.577392578125,1265.05,3.3466796875
1242.0321044921875,1262.7,21.70361328125
1275.7025146484375,1266.2,0.48388671875
1258.74267578125,1264.85,17.433837890625
1233.0936279296875,1274.95,32.230224609375
1257.870361328125,1279.95,14.3819580078125
1278.92431640625,1293.5,7.374267578125
1349.7720947265625,1291.0,31.7144775390625
1286.8302001953125,1273.1,1.0015869140625
